year,cause,gender,age,people
1999,A41,1,0 to 4,198
1999,A41,1,10 to 14,14
1999,A41,1,15 to 19,14
1999,A41,1,20 to 24,48
1999,A41,1,25 to 29,51
1999,A41,1,30 to 34,85
1999,A41,1,35 to 39,153
1999,A41,1,40 to 44,275
1999,A41,1,45 to 49,378
1999,A41,1,5 to 9,18
1999,A41,1,50 to 54,490
1999,A41,1,55 to 59,592
1999,A41,1,60 to 64,780
1999,A41,1,65 to 69,1194
1999,A41,1,70 to 74,1668
1999,A41,1,75 to 79,2206
1999,A41,1,80 to 84,2139
1999,A41,1,85 to 89,1688
1999,A41,1,90 to 94,807
1999,A41,1,95+,252
1999,A41,2,0 to 4,124
1999,A41,2,10 to 14,13
1999,A41,2,15 to 19,12
1999,A41,2,20 to 24,36
1999,A41,2,25 to 29,49
1999,A41,2,30 to 34,70
1999,A41,2,35 to 39,129
1999,A41,2,40 to 44,196
1999,A41,2,45 to 49,309
1999,A41,2,5 to 9,18
1999,A41,2,50 to 54,420
1999,A41,2,55 to 59,545
1999,A41,2,60 to 64,706
1999,A41,2,65 to 69,1105
1999,A41,2,70 to 74,1664
1999,A41,2,75 to 79,2388
1999,A41,2,80 to 84,2795
1999,A41,2,85 to 89,3098
1999,A41,2,90 to 94,2135
1999,A41,2,95+,1063
2000,A41,1,0 to 4,176
2000,A41,1,10 to 14,14
2000,A41,1,15 to 19,20
2000,A41,1,20 to 24,33
2000,A41,1,25 to 29,62
2000,A41,1,30 to 34,92
2000,A41,1,35 to 39,149
2000,A41,1,40 to 44,279
2000,A41,1,45 to 49,422
2000,A41,1,5 to 9,20
2000,A41,1,50 to 54,580
2000,A41,1,55 to 59,642
2000,A41,1,60 to 64,832
2000,A41,1,65 to 69,1157
2000,A41,1,70 to 74,1650
2000,A41,1,75 to 79,2213
2000,A41,1,80 to 84,2199
2000,A41,1,85 to 89,1669
2000,A41,1,90 to 94,795
2000,A41,1,95+,232
2000,A41,1,Unspecified,1
2000,A41,2,0 to 4,164
2000,A41,2,10 to 14,9
2000,A41,2,15 to 19,16
2000,A41,2,20 to 24,23
2000,A41,2,25 to 29,38
2000,A41,2,30 to 34,76
2000,A41,2,35 to 39,149
2000,A41,2,40 to 44,248
2000,A41,2,45 to 49,328
2000,A41,2,5 to 9,11
2000,A41,2,50 to 54,445
2000,A41,2,55 to 59,585
2000,A41,2,60 to 64,751
2000,A41,2,65 to 69,1097
2000,A41,2,70 to 74,1680
2000,A41,2,75 to 79,2453
2000,A41,2,80 to 84,2913
2000,A41,2,85 to 89,3157
2000,A41,2,90 to 94,2118
2000,A41,2,95+,1048
2001,A41,1,0 to 4,205
2001,A41,1,10 to 14,18
2001,A41,1,15 to 19,29
2001,A41,1,20 to 24,43
2001,A41,1,25 to 29,46
2001,A41,1,30 to 34,86
2001,A41,1,35 to 39,158
2001,A41,1,40 to 44,266
2001,A41,1,45 to 49,425
2001,A41,1,5 to 9,14
2001,A41,1,50 to 54,586
2001,A41,1,55 to 59,714
2001,A41,1,60 to 64,857
2001,A41,1,65 to 69,1209
2001,A41,1,70 to 74,1788
2001,A41,1,75 to 79,2362
2001,A41,1,80 to 84,2322
2001,A41,1,85 to 89,1771
2001,A41,1,90 to 94,855
2001,A41,1,95+,254
2001,A41,2,0 to 4,160
2001,A41,2,10 to 14,14
2001,A41,2,15 to 19,24
2001,A41,2,20 to 24,31
2001,A41,2,25 to 29,40
2001,A41,2,30 to 34,92
2001,A41,2,35 to 39,134
2001,A41,2,40 to 44,220
2001,A41,2,45 to 49,379
2001,A41,2,5 to 9,11
2001,A41,2,50 to 54,520
2001,A41,2,55 to 59,647
2001,A41,2,60 to 64,827
2001,A41,2,65 to 69,1148
2001,A41,2,70 to 74,1735
2001,A41,2,75 to 79,2561
2001,A41,2,80 to 84,2957
2001,A41,2,85 to 89,3038
2001,A41,2,90 to 94,2119
2001,A41,2,95+,951
2002,A41,1,0 to 4,179
2002,A41,1,10 to 14,26
2002,A41,1,15 to 19,21
2002,A41,1,20 to 24,33
2002,A41,1,25 to 29,57
2002,A41,1,30 to 34,95
2002,A41,1,35 to 39,142
2002,A41,1,40 to 44,266
2002,A41,1,45 to 49,478
2002,A41,1,5 to 9,22
2002,A41,1,50 to 54,609
2002,A41,1,55 to 59,744
2002,A41,1,60 to 64,964
2002,A41,1,65 to 69,1278
2002,A41,1,70 to 74,1833
2002,A41,1,75 to 79,2439
2002,A41,1,80 to 84,2522
2002,A41,1,85 to 89,1843
