Year,Cause,Sex,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
1979,1602,2,0,0,0,0,0,0,0,0,0,1,0,4,1,4,6,10,9,11,13,15,17,17,,,0,0,0,0,0
1979,1610,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,4,8,10,3,7,3,,,0,0,0,0,0
1979,1610,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,1,3,0,0,,,0,0,0,0,0
1979,163,1,0,0,0,0,0,0,1,0,0,1,0,4,7,10,12,31,44,46,44,36,14,7,,,0,0,0,0,0
1979,163,2,0,0,0,0,0,0,0,0,1,0,0,0,2,3,5,7,11,11,16,6,13,8,,,0,0,0,0,0
1979,164,1,0,0,0,0,0,1,4,6,12,16,19,9,8,10,10,23,27,42,33,21,11,10,,,0,0,0,0,0
1979,164,2,0,0,0,0,0,1,0,2,3,9,3,6,5,7,14,22,27,19,18,16,13,7,,,0,0,0,0,0
1979,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,0,0,0,,,0,0,0,0,0
1979,165,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,,,0,0,0,0,0
1979,171,1,4,1,6,2,4,27,25,51,51,39,32,43,50,73,73,114,112,128,138,97,81,52,,,0,1,0,0,3
1979,171,2,2,5,4,3,1,8,18,31,43,37,24,33,40,64,89,134,142,134,141,123,95,79,,,0,0,0,0,2
1979,175,1,0,0,0,0,0,0,0,0,0,1,1,2,2,4,9,22,32,33,38,24,37,17,,,0,0,0,0,0
1979,179,2,0,0,0,0,0,0,0,0,2,5,11,26,37,74,147,231,377,465,459,422,349,315,,,0,0,0,0,0
1979,182,2,0,0,0,0,0,0,0,0,1,3,3,10,28,38,151,259,426,526,505,388,285,234,,,1,0,0,0,0
